home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime
Atlas,Mazatlán,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Atletico San Luis,Guadalajara Chivas,,,0.0,0.0,0.0,0.0,0.0,0.0
Puebla,Club Queretaro,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Cruz Azul,Monterrey,False,True,2.0,3.0,1.0,1.0,2.0,3.0
Toluca,Club America,,,2.0,2.0,2.0,1.0,2.0,2.0
Santos Laguna,U.N.A.M. - Pumas,True,False,3.0,0.0,1.0,0.0,3.0,0.0
FC Juarez,Club Tijuana,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Tigres UANL,Pachuca,True,False,4.0,1.0,1.0,1.0,4.0,1.0
Leon,Necaxa,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Mazatlán,Santos Laguna,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Club Tijuana,Tigres UANL,,,1.0,1.0,1.0,0.0,1.0,1.0
Monterrey,Atletico San Luis,True,False,3.0,1.0,2.0,0.0,3.0,1.0
Club America,Puebla,,,2.0,2.0,1.0,0.0,2.0,2.0
Guadalajara Chivas,Toluca,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Necaxa,Cruz Azul,True,False,1.0,0.0,1.0,0.0,1.0,0.0
U.N.A.M. - Pumas,Leon,True,False,4.0,1.0,2.0,1.0,4.0,1.0
Club Queretaro,Atlas,,,3.0,3.0,2.0,2.0,3.0,3.0
Pachuca,FC Juarez,True,False,4.0,1.0,1.0,0.0,4.0,1.0
Atlas,Santos Laguna,,,2.0,2.0,0.0,1.0,2.0,2.0
Puebla,Monterrey,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Club Tijuana,U.N.A.M. - Pumas,,,0.0,0.0,0.0,0.0,0.0,0.0
Club Queretaro,Cruz Azul,,,2.0,2.0,0.0,1.0,2.0,2.0
Tigres UANL,Atletico San Luis,,,0.0,0.0,0.0,0.0,0.0,0.0
Club America,Mazatlán,True,False,6.0,0.0,4.0,0.0,6.0,0.0
FC Juarez,Guadalajara Chivas,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Toluca,Leon,,,0.0,0.0,0.0,0.0,0.0,0.0
Pachuca,Necaxa,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Atletico San Luis,Puebla,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Necaxa,Club Tijuana,,,1.0,1.0,0.0,1.0,1.0,1.0
Mazatlán,FC Juarez,False,True,2.0,3.0,1.0,1.0,2.0,3.0
Leon,Pachuca,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Cruz Azul,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Santos Laguna,Club America,,,2.0,2.0,2.0,1.0,2.0,2.0
U.N.A.M. - Pumas,Atlas,,,2.0,2.0,2.0,1.0,2.0,2.0
Guadalajara Chivas,Club Queretaro,,,1.0,1.0,0.0,0.0,1.0,1.0
Monterrey,Toluca,True,False,2.0,1.0,2.0,0.0,2.0,1.0
Club Queretaro,Leon,False,True,0.0,3.0,0.0,2.0,0.0,3.0
Atlas,Monterrey,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Puebla,Mazatlán,True,False,3.0,1.0,3.0,0.0,3.0,1.0
Club Tijuana,Atletico San Luis,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Club America,Necaxa,True,False,2.0,1.0,1.0,0.0,2.0,1.0
FC Juarez,Santos Laguna,True,False,3.0,1.0,0.0,1.0,3.0,1.0
Tigres UANL,U.N.A.M. - Pumas,True,False,4.0,2.0,3.0,1.0,4.0,2.0
Pachuca,Guadalajara Chivas,,,1.0,1.0,0.0,1.0,1.0,1.0
Toluca,Cruz Azul,True,False,3.0,1.0,1.0,1.0,3.0,1.0
Leon,Puebla,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Tigres UANL,FC Juarez,,,0.0,0.0,0.0,0.0,0.0,0.0
Atletico San Luis,Club America,False,True,1.0,3.0,1.0,2.0,1.0,3.0
Monterrey,Club Queretaro,True,False,2.0,0.0,2.0,0.0,2.0,0.0
Guadalajara Chivas,Club Tijuana,True,False,2.0,1.0,1.0,1.0,2.0,1.0
Necaxa,U.N.A.M. - Pumas,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Mazatlán,Pachuca,False,True,2.0,3.0,0.0,1.0,2.0,3.0
Cruz Azul,Atlas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Santos Laguna,Toluca,False,True,0.0,5.0,0.0,2.0,0.0,5.0
Atletico San Luis,Santos Laguna,,,1.0,1.0,1.0,0.0,1.0,1.0
FC Juarez,Leon,,,0.0,0.0,0.0,0.0,0.0,0.0
Puebla,Cruz Azul,False,True,1.0,3.0,0.0,1.0,1.0,3.0
Monterrey,Necaxa,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Atlas,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0
U.N.A.M. - Pumas,Guadalajara Chivas,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Club Queretaro,Mazatlán,,,1.0,1.0,1.0,0.0,1.0,1.0
Club America,Club Tijuana,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Pachuca,Toluca,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Necaxa,Club Queretaro,,,1.0,1.0,1.0,0.0,1.0,1.0
Mazatlán,U.N.A.M. - Pumas,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Cruz Azul,FC Juarez,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Tigres UANL,Guadalajara Chivas,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Atlas,Club America,,,2.0,2.0,1.0,2.0,2.0,2.0
Toluca,Atletico San Luis,True,False,2.0,0.0,2.0,0.0,2.0,0.0
Santos Laguna,Puebla,True,False,3.0,2.0,2.0,0.0,3.0,2.0
Club Tijuana,Pachuca,True,False,2.0,0.0,2.0,0.0,2.0,0.0
Leon,Monterrey,,,1.0,1.0,1.0,0.0,1.0,1.0
Necaxa,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Mazatlán,Cruz Azul,True,False,3.0,1.0,1.0,1.0,3.0,1.0
Club Tijuana,Atlas,,,1.0,1.0,1.0,1.0,1.0,1.0
Leon,Atletico San Luis,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Monterrey,FC Juarez,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Club America,Pachuca,False,True,0.0,3.0,0.0,3.0,0.0,3.0
Guadalajara Chivas,Santos Laguna,True,False,2.0,0.0,2.0,0.0,2.0,0.0
U.N.A.M. - Pumas,Puebla,False,True,2.0,4.0,1.0,2.0,2.0,4.0
Club Queretaro,Toluca,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Atletico San Luis,Club Queretaro,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Puebla,Guadalajara Chivas,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Atlas,Leon,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Cruz Azul,U.N.A.M. - Pumas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Tigres UANL,Club America,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Toluca,Mazatlán,True,False,4.0,1.0,2.0,1.0,4.0,1.0
Pachuca,Monterrey,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Santos Laguna,Club Tijuana,True,False,3.0,2.0,1.0,1.0,3.0,2.0
FC Juarez,Necaxa,,,1.0,1.0,0.0,0.0,1.0,1.0
Puebla,Atlas,False,True,0.0,4.0,0.0,2.0,0.0,4.0
Mazatlán,Necaxa,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Club Tijuana,Toluca,,,3.0,3.0,0.0,3.0,3.0,3.0
Cruz Azul,Atletico San Luis,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Tigres UANL,Monterrey,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Guadalajara Chivas,Club America,False,True,2.0,4.0,0.0,3.0,2.0,4.0
U.N.A.M. - Pumas,Pachuca,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Club Queretaro,FC Juarez,,,2.0,2.0,1.0,0.0,2.0,2.0
Leon,Santos Laguna,True,False,4.0,1.0,3.0,0.0,4.0,1.0
Necaxa,Santos Laguna,,,0.0,0.0,0.0,0.0,0.0,0.0
FC Juarez,Puebla,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Pachuca,Cruz Azul,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Club America,Leon,,,2.0,2.0,0.0,1.0,2.0,2.0
Monterrey,Club Tijuana,True,False,4.0,0.0,3.0,0.0,4.0,0.0
Atlas,Guadalajara Chivas,,,3.0,3.0,2.0,2.0,3.0,3.0
Toluca,Tigres UANL,True,False,3.0,2.0,2.0,0.0,3.0,2.0
